figure_id,svg,png,caption,source_dataset,row_selector
t_hs_n18_time,figures/t_hs_n18_time.svg,figures/t_hs_n18_time.png,"Median prepared-call time with raw MAD; SDK launch/wait kernel timer is shown separately, not an arithmetic-only timer or an additive component.",data/tasklets.csv,hs_n18
t_hs_n18_speedup,figures/t_hs_n18_speedup.svg,figures/t_hs_n18_speedup.png,Accepted paired-block descriptive intervals. Baseline is one tasklet or one DPU at the same fixed tasklet count. Efficiency is speedup divided by resource count; no optimal-count claim.,data/comparisons.csv,T/hs_n18/prepared_call_s
t_hs_n18_efficiency,figures/t_hs_n18_efficiency.svg,figures/t_hs_n18_efficiency.png,Accepted paired-block descriptive intervals. Baseline is one tasklet or one DPU at the same fixed tasklet count. Efficiency is speedup divided by resource count; no optimal-count claim.,data/comparisons.csv,T/hs_n18/prepared_call_s
t_stress_n16_l2_time,figures/t_stress_n16_l2_time.svg,figures/t_stress_n16_l2_time.png,"Median prepared-call time with raw MAD; SDK launch/wait kernel timer is shown separately, not an arithmetic-only timer or an additive component.",data/tasklets.csv,stress_n16_l2
t_stress_n16_l2_speedup,figures/t_stress_n16_l2_speedup.svg,figures/t_stress_n16_l2_speedup.png,Accepted paired-block descriptive intervals. Baseline is one tasklet or one DPU at the same fixed tasklet count. Efficiency is speedup divided by resource count; no optimal-count claim.,data/comparisons.csv,T/stress_n16_l2/prepared_call_s
t_stress_n16_l2_efficiency,figures/t_stress_n16_l2_efficiency.svg,figures/t_stress_n16_l2_efficiency.png,Accepted paired-block descriptive intervals. Baseline is one tasklet or one DPU at the same fixed tasklet count. Efficiency is speedup divided by resource count; no optimal-count claim.,data/comparisons.csv,T/stress_n16_l2/prepared_call_s
d_hs_n18_time,figures/d_hs_n18_time.svg,figures/d_hs_n18_time.png,"Median prepared-call time with raw MAD; SDK launch/wait kernel timer is shown separately, not an arithmetic-only timer or an additive component.",data/dpus.csv,hs_n18
d_hs_n18_speedup,figures/d_hs_n18_speedup.svg,figures/d_hs_n18_speedup.png,Accepted paired-block descriptive intervals. Baseline is one tasklet or one DPU at the same fixed tasklet count. Efficiency is speedup divided by resource count; no optimal-count claim.,data/comparisons.csv,D/hs_n18/prepared_call_s
d_hs_n18_efficiency,figures/d_hs_n18_efficiency.svg,figures/d_hs_n18_efficiency.png,Accepted paired-block descriptive intervals. Baseline is one tasklet or one DPU at the same fixed tasklet count. Efficiency is speedup divided by resource count; no optimal-count claim.,data/comparisons.csv,D/hs_n18/prepared_call_s
d_stress_n16_l2_time,figures/d_stress_n16_l2_time.svg,figures/d_stress_n16_l2_time.png,"Median prepared-call time with raw MAD; SDK launch/wait kernel timer is shown separately, not an arithmetic-only timer or an additive component.",data/dpus.csv,stress_n16_l2
d_stress_n16_l2_speedup,figures/d_stress_n16_l2_speedup.svg,figures/d_stress_n16_l2_speedup.png,Accepted paired-block descriptive intervals. Baseline is one tasklet or one DPU at the same fixed tasklet count. Efficiency is speedup divided by resource count; no optimal-count claim.,data/comparisons.csv,D/stress_n16_l2/prepared_call_s
d_stress_n16_l2_efficiency,figures/d_stress_n16_l2_efficiency.svg,figures/d_stress_n16_l2_efficiency.png,Accepted paired-block descriptive intervals. Baseline is one tasklet or one DPU at the same fixed tasklet count. Efficiency is speedup divided by resource count; no optimal-count claim.,data/comparisons.csv,D/stress_n16_l2/prepared_call_s
ablation_edc_n17_time,figures/ablation_edc_n17_time.svg,figures/ablation_edc_n17_time.png,"A0 D1/T1 serial unfused; A1 D1/T8; A2 D4/T8; A3 fused; A4 static DAG waves. All use the panel kernel, float32 and the same greedy path.",data/ablations.csv,edc_n17
ablation_edc_n17_ratios,figures/ablation_edc_n17_ratios.svg,figures/ablation_edc_n17_ratios.png,"Accepted descriptive intervals; <1 is a regression. Combined A0/A4 is a directly measured contrast, not multiplication across historical studies.",data/comparisons.csv,edc_n17/A/prepared_call_s
ablation_hs_n18_time,figures/ablation_hs_n18_time.svg,figures/ablation_hs_n18_time.png,"A0 D1/T1 serial unfused; A1 D1/T8; A2 D4/T8; A3 fused; A4 static DAG waves. All use the panel kernel, float32 and the same greedy path.",data/ablations.csv,hs_n18
ablation_hs_n18_ratios,figures/ablation_hs_n18_ratios.svg,figures/ablation_hs_n18_ratios.png,"Accepted descriptive intervals; <1 is a regression. Combined A0/A4 is a directly measured contrast, not multiplication across historical studies.",data/comparisons.csv,hs_n18/A/prepared_call_s
ablation_stress_n16_l2_time,figures/ablation_stress_n16_l2_time.svg,figures/ablation_stress_n16_l2_time.png,"A0 D1/T1 serial unfused; A1 D1/T8; A2 D4/T8; A3 fused; A4 static DAG waves. All use the panel kernel, float32 and the same greedy path.",data/ablations.csv,stress_n16_l2
ablation_stress_n16_l2_ratios,figures/ablation_stress_n16_l2_ratios.svg,figures/ablation_stress_n16_l2_ratios.png,"Accepted descriptive intervals; <1 is a regression. Combined A0/A4 is a directly measured contrast, not multiplication across historical studies.",data/comparisons.csv,stress_n16_l2/A/prepared_call_s
lifecycle_edc_n17,figures/lifecycle_edc_n17.svg,figures/lifecycle_edc_n17.png,"Shares are computed per attempt before median/MAD. These three lifecycle components sum per sample, but their medians need not sum to 100%; hence no stacked median decomposition is used.",data/lifecycle.csv,edc_n17/A
lifecycle_hs_n18,figures/lifecycle_hs_n18.svg,figures/lifecycle_hs_n18.png,"Shares are computed per attempt before median/MAD. These three lifecycle components sum per sample, but their medians need not sum to 100%; hence no stacked median decomposition is used.",data/lifecycle.csv,hs_n18/A
lifecycle_stress_n16_l2,figures/lifecycle_stress_n16_l2.svg,figures/lifecycle_stress_n16_l2.png,"Shares are computed per attempt before median/MAD. These three lifecycle components sum per sample, but their medians need not sum to 100%; hence no stacked median decomposition is used.",data/lifecycle.csv,stress_n16_l2/A
width_bb84,figures/width_bb84.svg,figures/width_bb84.png,"Same preloaded circuit to owned complete statevector, excluding validation and serialization. UPMEM is fixed D64/T24 with greedy planning. CPU anchors end by design; rejected UPMEM endpoints are marked, not plotted as times.",data/width.csv,bb84
cpu_ratio_bb84,figures/cpu_ratio_bb84.svg,figures/cpu_ratio_bb84.png,"Values below one favour the CPU; values above one favour UPMEM. Only mutually qualified paired cells enter ratios. QuEST P8 means eight requested CPU threads, not a globally best or proven SOTA simulator.",data/cpu_comparison.csv,bb84/job_to_state_s
traffic_bb84,figures/traffic_bb84.svg,figures/traffic_bb84.png,"Median application-visible H2D and D2H bytes, not total physical bus traffic. Output storage is shown only as a size reference; it is not another measured transfer.",data/width.csv,bb84/UPMEM
width_bv,figures/width_bv.svg,figures/width_bv.png,"Same preloaded circuit to owned complete statevector, excluding validation and serialization. UPMEM is fixed D64/T24 with greedy planning. CPU anchors end by design; rejected UPMEM endpoints are marked, not plotted as times.",data/width.csv,bv
cpu_ratio_bv,figures/cpu_ratio_bv.svg,figures/cpu_ratio_bv.png,"Values below one favour the CPU; values above one favour UPMEM. Only mutually qualified paired cells enter ratios. QuEST P8 means eight requested CPU threads, not a globally best or proven SOTA simulator.",data/cpu_comparison.csv,bv/job_to_state_s
traffic_bv,figures/traffic_bv.svg,figures/traffic_bv.png,"Median application-visible H2D and D2H bytes, not total physical bus traffic. Output storage is shown only as a size reference; it is not another measured transfer.",data/width.csv,bv/UPMEM
width_edc,figures/width_edc.svg,figures/width_edc.png,"Same preloaded circuit to owned complete statevector, excluding validation and serialization. UPMEM is fixed D64/T24 with greedy planning. CPU anchors end by design; rejected UPMEM endpoints are marked, not plotted as times.",data/width.csv,edc
cpu_ratio_edc,figures/cpu_ratio_edc.svg,figures/cpu_ratio_edc.png,"Values below one favour the CPU; values above one favour UPMEM. Only mutually qualified paired cells enter ratios. QuEST P8 means eight requested CPU threads, not a globally best or proven SOTA simulator.",data/cpu_comparison.csv,edc/job_to_state_s
traffic_edc,figures/traffic_edc.svg,figures/traffic_edc.png,"Median application-visible H2D and D2H bytes, not total physical bus traffic. Output storage is shown only as a size reference; it is not another measured transfer.",data/width.csv,edc/UPMEM
width_hs,figures/width_hs.svg,figures/width_hs.png,"Same preloaded circuit to owned complete statevector, excluding validation and serialization. UPMEM is fixed D64/T24 with greedy planning. CPU anchors end by design; rejected UPMEM endpoints are marked, not plotted as times.",data/width.csv,hs
cpu_ratio_hs,figures/cpu_ratio_hs.svg,figures/cpu_ratio_hs.png,"Values below one favour the CPU; values above one favour UPMEM. Only mutually qualified paired cells enter ratios. QuEST P8 means eight requested CPU threads, not a globally best or proven SOTA simulator.",data/cpu_comparison.csv,hs/job_to_state_s
traffic_hs,figures/traffic_hs.svg,figures/traffic_hs.png,"Median application-visible H2D and D2H bytes, not total physical bus traffic. Output storage is shown only as a size reference; it is not another measured transfer.",data/width.csv,hs/UPMEM
width_qrng,figures/width_qrng.svg,figures/width_qrng.png,"Same preloaded circuit to owned complete statevector, excluding validation and serialization. UPMEM is fixed D64/T24 with greedy planning. CPU anchors end by design; rejected UPMEM endpoints are marked, not plotted as times.",data/width.csv,qrng
cpu_ratio_qrng,figures/cpu_ratio_qrng.svg,figures/cpu_ratio_qrng.png,"Values below one favour the CPU; values above one favour UPMEM. Only mutually qualified paired cells enter ratios. QuEST P8 means eight requested CPU threads, not a globally best or proven SOTA simulator.",data/cpu_comparison.csv,qrng/job_to_state_s
traffic_qrng,figures/traffic_qrng.svg,figures/traffic_qrng.png,"Median application-visible H2D and D2H bytes, not total physical bus traffic. Output storage is shown only as a size reference; it is not another measured transfer.",data/width.csv,qrng/UPMEM
width_xor,figures/width_xor.svg,figures/width_xor.png,"Same preloaded circuit to owned complete statevector, excluding validation and serialization. UPMEM is fixed D64/T24 with greedy planning. CPU anchors end by design; rejected UPMEM endpoints are marked, not plotted as times.",data/width.csv,xor
cpu_ratio_xor,figures/cpu_ratio_xor.svg,figures/cpu_ratio_xor.png,"Values below one favour the CPU; values above one favour UPMEM. Only mutually qualified paired cells enter ratios. QuEST P8 means eight requested CPU threads, not a globally best or proven SOTA simulator.",data/cpu_comparison.csv,xor/job_to_state_s
traffic_xor,figures/traffic_xor.svg,figures/traffic_xor.png,"Median application-visible H2D and D2H bytes, not total physical bus traffic. Output storage is shown only as a size reference; it is not another measured transfer.",data/width.csv,xor/UPMEM
frontiers,figures/frontiers.svg,figures/frontiers.png,UPMEM endpoints reflect recorded admission limits. QuEST P8 reached its planned grid endpoint. QuEST P1 and NumPy stop at their smaller planned anchor grids; these are not capacity failures.,data/frontiers.csv,all
tensor_counts,figures/tensor_counts.svg,figures/tensor_counts.png,"Deterministic circuit/plan facts, not measured performance or a causal roofline model. Different families have different structure at the same qubit count.",data/circuits.csv,role=width
work_counts,figures/work_counts.svg,figures/work_counts.png,"Deterministic circuit/plan facts, not measured performance or a causal roofline model. Different families have different structure at the same qubit count.",data/circuits.csv,role=width
accuracy_relative_l2,figures/accuracy_relative_l2.svg,figures/accuracy_relative_l2.png,"Maximum across measured blocks and qualified widths, not a mean or confidence interval. Zero errors remain zero; symlog is linear within ±1e-10. Complete qualification uses all frozen error checks, not this metric alone.",data/accuracy.csv,suite=W
accuracy_norm_drift,figures/accuracy_norm_drift.svg,figures/accuracy_norm_drift.png,"Maximum across measured blocks and qualified widths, not a mean or confidence interval. Zero errors remain zero; symlog is linear within ±1e-10. Complete qualification uses all frozen error checks, not this metric alone.",data/accuracy.csv,suite=W
p6_aggregate_inclusive,figures/p6_aggregate_inclusive.svg,figures/p6_aggregate_inclusive.png,"Original P6 descriptive intervals, imported unchanged. G greedy; F FLOP selection; R reranking; U guided generation. A near-one R/U interval is not statistical equivalence.",data/p6_aggregates.csv,session_inclusive_s
p6_aggregate_steady,figures/p6_aggregate_steady.svg,figures/p6_aggregate_steady.png,"Original P6 descriptive intervals, imported unchanged. G greedy; F FLOP selection; R reranking; U guided generation. A near-one R/U interval is not statistical equivalence.",data/p6_aggregates.csv,total_wall_s
p6_cells_R_over_U,figures/p6_cells_R_over_U.svg,figures/p6_cells_R_over_U.png,"All twelve cells, including regressions and method aliases. Same-path methods share observations; aliases are not independent replications.",data/p6_cells.csv,R/U/session_inclusive_s
p6_cells_F_over_R,figures/p6_cells_F_over_R.svg,figures/p6_cells_F_over_R.png,"All twelve cells, including regressions and method aliases. Same-path methods share observations; aliases are not independent replications.",data/p6_cells.csv,F/R/session_inclusive_s
p6_cells_G_over_U,figures/p6_cells_G_over_U.svg,figures/p6_cells_G_over_U.png,"All twelve cells, including regressions and method aliases. Same-path methods share observations; aliases are not independent replications.",data/p6_cells.csv,G/U/session_inclusive_s
p6_hs_lifecycle,figures/p6_hs_lifecycle.svg,figures/p6_hs_lifecycle.png,Separate medians and nested timers are not additive. The inclusive regression coexists with similar kernel time; this is not proof of a specific causal bottleneck.,data/p6_methods.csv,HS / 4dpu_t8
p6_search,figures/p6_search.svg,figures/p6_search.png,Recorded offline F/U searches. Not additional physical runs and not a repeated-seed generalization study.,data/p6_search.csv,all
