table_id,typst,title,note,source_dataset,row_selector,rows
accounting,tables/accounting.typ,Final campaign accounting,Warmups are excluded from every measured summary. An unsupported attempt is not a successful physical kernel execution.,data/accounting.csv,all,4
t_hs_n18,tables/t_hs_n18.typ,HS 18 — tasklet scaling,All measured grid points. Baseline is T1 or D1 at the same fixed T. Five measured blocks. No timing-optimal resource claim.,data/tasklets.csv; data/comparisons.csv,hs_n18,24
t_stress_n16_l2,tables/t_stress_n16_l2.typ,STRESS 16 L2 — tasklet scaling,All measured grid points. Baseline is T1 or D1 at the same fixed T. Five measured blocks. No timing-optimal resource claim.,data/tasklets.csv; data/comparisons.csv,stress_n16_l2,24
d_hs_n18,tables/d_hs_n18.typ,HS 18 — DPU scaling,All measured grid points. Baseline is T1 or D1 at the same fixed T. Five measured blocks. No timing-optimal resource claim.,data/dpus.csv; data/comparisons.csv,hs_n18,14
d_stress_n16_l2,tables/d_stress_n16_l2.typ,STRESS 16 L2 — DPU scaling,All measured grid points. Baseline is T1 or D1 at the same fixed T. Five measured blocks. No timing-optimal resource claim.,data/dpus.csv; data/comparisons.csv,stress_n16_l2,14
best_resources,tables/best_resources.typ,Descriptive resource minima,"Minimum prepared-call median, ties broken by smaller resource count. Selected after observation for description only; no independent optimum confirmation and no change to the fixed width-study configuration.",data/best_resources.csv,all,6
ablation_edc_n17,tables/ablation_edc_n17.typ,EDC 17 — matched final executor,"Seven measured blocks. All arms already use WRAM panels, packed waves, float32 and the same greedy path.",data/ablations.csv,edc_n17,5
ablation_effects_edc_n17,tables/ablation_effects_edc_n17.typ,EDC 17 — isolated transitions,Ratio <1 and negative time reduction are regressions. Combined A0/A4 is a directly observed contrast.,data/comparisons.csv,edc_n17/A/prepared_call_s,5
ablation_hs_n18,tables/ablation_hs_n18.typ,HS 18 — matched final executor,"Seven measured blocks. All arms already use WRAM panels, packed waves, float32 and the same greedy path.",data/ablations.csv,hs_n18,5
ablation_effects_hs_n18,tables/ablation_effects_hs_n18.typ,HS 18 — isolated transitions,Ratio <1 and negative time reduction are regressions. Combined A0/A4 is a directly observed contrast.,data/comparisons.csv,hs_n18/A/prepared_call_s,5
ablation_stress_n16_l2,tables/ablation_stress_n16_l2.typ,STRESS 16 L2 — matched final executor,"Seven measured blocks. All arms already use WRAM panels, packed waves, float32 and the same greedy path.",data/ablations.csv,stress_n16_l2,5
ablation_effects_stress_n16_l2,tables/ablation_effects_stress_n16_l2.typ,STRESS 16 L2 — isolated transitions,Ratio <1 and negative time reduction are regressions. Combined A0/A4 is a directly observed contrast.,data/comparisons.csv,stress_n16_l2/A/prepared_call_s,5
width_bb84,tables/width_bb84.typ,BB84 — job-to-state comparison,"UPMEM D64/T24, greedy path; QuEST single precision. Dash in CPU anchor columns means not planned. Unsupported UPMEM endpoint is retained, not replaced by zero time.",data/width.csv; data/cpu_comparison.csv,bb84,8
width_bv,tables/width_bv.typ,BV — job-to-state comparison,"UPMEM D64/T24, greedy path; QuEST single precision. Dash in CPU anchor columns means not planned. Unsupported UPMEM endpoint is retained, not replaced by zero time.",data/width.csv; data/cpu_comparison.csv,bv,8
width_edc,tables/width_edc.typ,EDC — job-to-state comparison,"UPMEM D64/T24, greedy path; QuEST single precision. Dash in CPU anchor columns means not planned. Unsupported UPMEM endpoint is retained, not replaced by zero time.",data/width.csv; data/cpu_comparison.csv,edc,8
width_hs,tables/width_hs.typ,HS — job-to-state comparison,"UPMEM D64/T24, greedy path; QuEST single precision. Dash in CPU anchor columns means not planned. Unsupported UPMEM endpoint is retained, not replaced by zero time.",data/width.csv; data/cpu_comparison.csv,hs,8
width_qrng,tables/width_qrng.typ,QRNG — job-to-state comparison,"UPMEM D64/T24, greedy path; QuEST single precision. Dash in CPU anchor columns means not planned. Unsupported UPMEM endpoint is retained, not replaced by zero time.",data/width.csv; data/cpu_comparison.csv,qrng,8
width_xor,tables/width_xor.typ,XOR — job-to-state comparison,"UPMEM D64/T24, greedy path; QuEST single precision. Dash in CPU anchor columns means not planned. Unsupported UPMEM endpoint is retained, not replaced by zero time.",data/width.csv; data/cpu_comparison.csv,xor,8
frontiers,tables/frontiers.typ,Largest qualified declared-grid points,"These are grid outcomes, not absolute capacity maxima. P1/NumPy anchors end earlier by design. UPMEM endpoints were admission-rejected.",data/frontiers.csv,all,6
circuits,tables/circuits.typ,Circuit and fixed-path geometry,"Includes all declared widths, including unsupported execution points. EDC counts data and syndrome wires. Qubit count alone does not measure contraction difficulty.",data/circuits.csv,all,49
p6_inclusive,tables/p6_inclusive.typ,P6 accepted inclusive aggregate contrasts,"Original family-balanced P6 statistics imported unchanged. No refit, pooling or new confidence procedure; R/U near one is not equivalence.",data/p6_aggregates.csv,session_inclusive_s,18
p6_steady,tables/p6_steady.typ,P6 accepted steady aggregate contrasts,"Original family-balanced P6 statistics imported unchanged. No refit, pooling or new confidence procedure; R/U near one is not equivalence.",data/p6_aggregates.csv,total_wall_s,18
p6_search,tables/p6_search.typ,P6 offline search cost,"Offline search cost is separate from physical execution. One paired search-seed schedule, not repeated optimizer trials.",data/p6_search.csv,all,24
quantization,tables/quantization.typ,Software quantization characterization,"These CSVs characterize software policy replay, not physical timing. Logical compression is not measured transfer reduction. The separate historical physical study established same-policy replay and workload-dependent error.",data/quantization.csv,all,5
mechanisms,tables/mechanisms.typ,Completed investigations and negative findings,Historical narratives are not recomputed raw observations. Chat-context transcriptions are explicitly unverified numeric context. Do not multiply these heterogeneous studies into a cumulative speedup.,data/mechanisms.csv,all,32
