module,recorded_finding,scope,disposition,source_id,claim_limit,provenance_class,input_source_id,source_row,history_url,history_sha256,synthesis_treatment
semantic_pipeline,Exact complete pre-measurement statevector via circuit/TN/DAG,functional foundation,retained,current source model.py/lowering.py,not a separately measured speedup,recorded_summary_not_recomputed,mechanisms,2,,,reported historical finding; not raw-data recomputation
gemm_lowering,"Binary contraction to B,M,K,N geometry",functional foundation,retained,current source upmem/tiling.py,not a separately measured speedup,recorded_summary_not_recomputed,mechanisms,3,,,reported historical finding; not raw-data recomputation
complex_lanes,RR-II + i(RI+IR),numerical semantics,retained,current source numerics.py and dpu_wave.c,real kernels implement complex outputs,recorded_summary_not_recomputed,mechanisms,4,,,reported historical finding; not raw-data recomputation
sequential,Greedy D1/T1 WRAM-panel; same-DAG CPU reference,diagnostic,baseline,sequential,not an unstaged scalar full-circuit baseline,recorded_summary_not_recomputed,mechanisms,5,https://github.com/kazulak/masters-thesis/blob/504e614c5064ba020e5f47f6d05202568faadd69/thesis/implementation/docs/sequential_upmem_baseline.md,390a358bc32a52d21cd8abd920dcc91a8d504db840e9a87cceb41104ef49bb58,reported historical finding; not raw-data recomputation
scalar_panel,approximately 1.154x kernel; 1.0452x inclusive,M=N=K=32 D1/T8 microablation,microcase,composition,not whole-circuit speedup,recorded_summary_not_recomputed,mechanisms,6,https://github.com/kazulak/masters-thesis/blob/504e614c5064ba020e5f47f6d05202568faadd69/thesis/implementation/docs/upmem_kernel_schedule_system_v1.md,136844f682f8889b954cbec966a7d96379e9440a3d314a9bd3a0720fab6ba27d,reported historical finding; not raw-data recomputation
tasklets,"Original T1->T8 6.77x kernel, 3.27x total",Stress18 historical diagnostic,retained,parallel,later composed controls must be recollected,recorded_summary_not_recomputed,mechanisms,7,https://github.com/kazulak/masters-thesis/blob/504e614c5064ba020e5f47f6d05202568faadd69/thesis/implementation/docs/hierarchical_parallel_diagnostic.md,6b87e14083dfec5ad5e7756a176fefc15a1b37489c1adceb06ebaffd8b8a2bcc,reported historical finding; not raw-data recomputation
dpus,"Original D1->D4 T8 3.67x kernel, 1.51x total",Stress18 historical diagnostic,retained,parallel,one-rank only,recorded_summary_not_recomputed,mechanisms,8,https://github.com/kazulak/masters-thesis/blob/504e614c5064ba020e5f47f6d05202568faadd69/thesis/implementation/docs/hierarchical_parallel_diagnostic.md,6b87e14083dfec5ad5e7756a176fefc15a1b37489c1adceb06ebaffd8b8a2bcc,reported historical finding; not raw-data recomputation
resource_general,T1..24 builds; non-power-of-two routes qualified,correctness,retained,composition,support does not prove scaling,recorded_summary_not_recomputed,mechanisms,9,https://github.com/kazulak/masters-thesis/blob/504e614c5064ba020e5f47f6d05202568faadd69/thesis/implementation/docs/upmem_kernel_schedule_system_v1.md,136844f682f8889b954cbec966a7d96379e9440a3d314a9bd3a0720fab6ba27d,reported historical finding; not raw-data recomputation
circuit_sensitivity,"Host request-wave overhead across Stress18, HS18, GHZ18",multi-circuit diagnostic,finding,sensitivity,absolute times not transferable between versions,recorded_summary_not_recomputed,mechanisms,10,https://github.com/kazulak/masters-thesis/blob/504e614c5064ba020e5f47f6d05202568faadd69/thesis/implementation/docs/circuit_resource_sensitivity_diagnostic.md,11333106f5ff5f064cad6486971eb883ce7c8f05d93d8a6eccc3d19c3f929ed2,reported historical finding; not raw-data recomputation
host_attribution,"Separated request construction, staging, native and transfer work",timing attribution,finding,transport,nested timers are not disjoint,recorded_summary_not_recomputed,mechanisms,11,https://github.com/kazulak/masters-thesis/blob/504e614c5064ba020e5f47f6d05202568faadd69/thesis/implementation/docs/packed_operation_transport_adoption.md,33b2496108b549eea363fca220b13bfcbcc215e80b0619dbaa9bf59ef902e9ac,reported historical finding; not raw-data recomputation
payload_initial,1.9..6.8 percent improvement; failed specified >=10 percent gate,initial staging AB,rejected,transport,do not rerun to force positive result,chat_context_transcription_not_newly_source_verified,mechanisms,12,https://github.com/kazulak/masters-thesis/blob/504e614c5064ba020e5f47f6d05202568faadd69/thesis/implementation/docs/packed_operation_transport_adoption.md,33b2496108b549eea363fca220b13bfcbcc215e80b0619dbaa9bf59ef902e9ac,unverified context transcription; do not use as a new measured numeric claim
