module,recorded_finding,scope,disposition,source_id,claim_limit,provenance_class
semantic_pipeline,Exact complete pre-measurement statevector via circuit/TN/DAG,functional foundation,retained,current source model.py/lowering.py,not a separately measured speedup,recorded_summary_not_recomputed
gemm_lowering,"Binary contraction to B,M,K,N geometry",functional foundation,retained,current source upmem/tiling.py,not a separately measured speedup,recorded_summary_not_recomputed
complex_lanes,RR-II + i(RI+IR),numerical semantics,retained,current source numerics.py and dpu_wave.c,real kernels implement complex outputs,recorded_summary_not_recomputed
sequential,Greedy D1/T1 WRAM-panel; same-DAG CPU reference,diagnostic,baseline,sequential,not an unstaged scalar full-circuit baseline,recorded_summary_not_recomputed
scalar_panel,approximately 1.154x kernel; 1.0452x inclusive,M=N=K=32 D1/T8 microablation,microcase,composition,not whole-circuit speedup,recorded_summary_not_recomputed
tasklets,"Original T1->T8 6.77x kernel, 3.27x total",Stress18 historical diagnostic,retained,parallel,later composed controls must be recollected,recorded_summary_not_recomputed
dpus,"Original D1->D4 T8 3.67x kernel, 1.51x total",Stress18 historical diagnostic,retained,parallel,one-rank only,recorded_summary_not_recomputed
resource_general,T1..24 builds; non-power-of-two routes qualified,correctness,retained,composition,support does not prove scaling,recorded_summary_not_recomputed
circuit_sensitivity,"Host request-wave overhead across Stress18, HS18, GHZ18",multi-circuit diagnostic,finding,sensitivity,absolute times not transferable between versions,recorded_summary_not_recomputed
host_attribution,"Separated request construction, staging, native and transfer work",timing attribution,finding,transport,nested timers are not disjoint,recorded_summary_not_recomputed
payload_initial,1.9..6.8 percent improvement; failed specified >=10 percent gate,initial staging AB,rejected,transport,do not rerun to force positive result,chat_context_transcription_not_newly_source_verified
templates,84..87 percent record-construction reduction,session-local template AB,adopted,transport,not an 84..87 percent complete-job speedup,chat_context_transcription_not_newly_source_verified
native_constructor,C prepared-stage slower without eliminating boundary work,host-only feasibility,rejected,transport,no general claim Python always faster,recorded_summary_not_recomputed
packed_envelope_probe,2.75..9.20x host-only synthetic probe,feasibility,prototype,transport,not physical execution speedup,chat_context_transcription_not_newly_source_verified
packed_transport,5.90..30.65 percent session-inclusive time reduction,72-attempt physical AB,adopted,transport,distinct from final v5 prepared waves,recorded_summary_not_recomputed
prepared_waves,Persistent host plus packed-wave ABI-v5,composition,retained,composition,native host filename still includes v4,recorded_summary_not_recomputed
complex_fusion,1.9034x inclusive fresh development confirmation,confirmed cell,retained when admitted,composition,four real products remain; launch count changes,recorded_summary_not_recomputed
outer_k1,0.985619x inclusive; interval spans one,specialization experiment,not adopted,composition,does not exclude all possible future specializations,recorded_summary_not_recomputed
dag,1.214213x six-cell inclusive; 1.431726x selected confirmation,static ready cohorts,retained,composition,selected confirmation is not untouched test,recorded_summary_not_recomputed
residency,Stress16 D1 0.959855x inclusive,resident pair,not adopted,composition,bounded pair only; not a universal residency verdict,recorded_summary_not_recomputed
slicing,Stress16 D2 .608676x; D4 .780553x; EDC14 D4 1.125244x,slicing plus static scheduling,mixed,composition,not isolated slicing concurrency,recorded_summary_not_recomputed
composed_tasklets,Stress16 D1T1->D1T16 4.501040x inclusive,composed diagnostic,accepted,composition,not comparable by multiplying older tasklet ratios,recorded_summary_not_recomputed
composed_dpus,Stress16 D1T8->D4T8 1.530679x inclusive,composed diagnostic,accepted,composition,not a CPU speedup,recorded_summary_not_recomputed
int8,180 accepted attempts; same-policy CPU replay matched,shared-scale complex int8,optional,quantization,quantization is not compulsory,recorded_summary_not_recomputed
int8_error,Stress18 relative L2 about 8.316 percent,int8 vs float32,negative quality result,quantization,no post-hoc universal int8 tolerance,recorded_summary_not_recomputed
int8_topology,HS18/Stress18 best tested D4 f32 -> D2 int8,best observed route,interaction,quantization,not a global optimum,recorded_summary_not_recomputed
pilot_path,Training 2.2314x; EDC16 2.2976x; BV18 .9963x,old pilot,noncanonical,pilot,lost raw archives; preserve limitation,chat_context_transcription_not_newly_source_verified
p6_cost,"5-term launch-aware score; final integer weights [1,2,1,1,5]",training/feedback fit,accepted,p6_model,"ranking coefficients, not runtime shares",recorded_summary_not_recomputed
p6_reranking,F/R 1.039030x overall inclusive,bounded final evaluation,useful,p6_aggregates,no universal per-cell win,recorded_summary_not_recomputed
p6_generation,"R/U 1.001343x CI [.994836,1.008509]; same path 8/12",primary bounded comparison,unresolved added benefit,p6_aggregates,not equivalence test,recorded_summary_not_recomputed
p6_regression,HS18 D4 G/U .687613x; U about 45.43 percent more time,session-inclusive per-cell,negative result,p6_methods,opening-time effect is not proven arithmetic slowdown,recorded_summary_not_recomputed
cpu_context,Historical NumPy/TN/QuEST roles distinct; new W adds matched CPU data,CPU comparison,new evidence required,sequential,never compare QuEST gate-only with UPMEM inclusive time,recorded_summary_not_recomputed
