claim_id,statement,dataset,row_selector,limitation
T-hs_n18-None,Lowest observed prepared-call median at 12 tasklets; endpoint speedup 1.9049x.,best_resources.csv,"{""case_id"": ""hs_n18"", ""fixed_tasklets"": null, ""suite"": ""T""}",Descriptive minimum median in measured grid; not an independent optimum confirmation.
T-stress_n16_l2-None,Lowest observed prepared-call median at 18 tasklets; endpoint speedup 3.3851x.,best_resources.csv,"{""case_id"": ""stress_n16_l2"", ""fixed_tasklets"": null, ""suite"": ""T""}",Descriptive minimum median in measured grid; not an independent optimum confirmation.
D-hs_n18-8,Lowest observed prepared-call median at 4 DPUs; endpoint speedup 1.1296x.,best_resources.csv,"{""case_id"": ""hs_n18"", ""fixed_tasklets"": 8, ""suite"": ""D""}",Descriptive minimum median in measured grid; not an independent optimum confirmation.
D-hs_n18-24,Lowest observed prepared-call median at 4 DPUs; endpoint speedup 1.0972x.,best_resources.csv,"{""case_id"": ""hs_n18"", ""fixed_tasklets"": 24, ""suite"": ""D""}",Descriptive minimum median in measured grid; not an independent optimum confirmation.
D-stress_n16_l2-8,Lowest observed prepared-call median at 16 DPUs; endpoint speedup 1.6114x.,best_resources.csv,"{""case_id"": ""stress_n16_l2"", ""fixed_tasklets"": 8, ""suite"": ""D""}",Descriptive minimum median in measured grid; not an independent optimum confirmation.
D-stress_n16_l2-24,Lowest observed prepared-call median at 16 DPUs; endpoint speedup 1.4725x.,best_resources.csv,"{""case_id"": ""stress_n16_l2"", ""fixed_tasklets"": 24, ""suite"": ""D""}",Descriptive minimum median in measured grid; not an independent optimum confirmation.
A-edc_n17-tasklets,"tasklets: baseline/alternative 4.3430x; descriptive interval [4.2725, 4.4317].",comparisons.csv,"{""case_id"": ""edc_n17"", ""comparison"": ""tasklets"", ""metric"": ""prepared_call_s"", ""suite"": ""A""}",Matched final-source cell. Interval is not an equivalence test; A0 already uses the panel kernel.
A-edc_n17-dpus,"dpus: baseline/alternative 1.6194x; descriptive interval [1.5921, 1.6544].",comparisons.csv,"{""case_id"": ""edc_n17"", ""comparison"": ""dpus"", ""metric"": ""prepared_call_s"", ""suite"": ""A""}",Matched final-source cell. Interval is not an equivalence test; A0 already uses the panel kernel.
A-edc_n17-complex_fusion,"complex_fusion: baseline/alternative 1.5430x; descriptive interval [1.5301, 1.5536].",comparisons.csv,"{""case_id"": ""edc_n17"", ""comparison"": ""complex_fusion"", ""metric"": ""prepared_call_s"", ""suite"": ""A""}",Matched final-source cell. Interval is not an equivalence test; A0 already uses the panel kernel.
A-edc_n17-dag_concurrency,"dag_concurrency: baseline/alternative 0.8280x; descriptive interval [0.8199, 0.8412].",comparisons.csv,"{""case_id"": ""edc_n17"", ""comparison"": ""dag_concurrency"", ""metric"": ""prepared_call_s"", ""suite"": ""A""}",Matched final-source cell. Interval is not an equivalence test; A0 already uses the panel kernel.
